Age,Workclass,Education,Marital_Status,Occupation,Relationship,Hours_Per_Week,Sex,Race,Place_Of_Birth,interview_score,cv_assessment_score,prior_hiring_decision
58.0,1.0,18.0,1.0,7700.0,0.0,40.0,1.0,1.0,13.0,8.6,7.18,0
26.0,1.0,21.0,5.0,3255.0,2.0,40.0,2.0,1.0,6.0,8.14,6.6,1
36.0,3.0,16.0,5.0,5740.0,13.0,40.0,2.0,8.0,6.0,5.66,6.55,0
39.0,1.0,16.0,1.0,4350.0,9.0,20.0,2.0,1.0,6.0,6.73,4.74,1
25.0,1.0,20.0,3.0,1031.0,0.0,40.0,2.0,1.0,6.0,7.51,5.68,1
52.0,3.0,21.0,1.0,5860.0,0.0,20.0,2.0,1.0,26.0,8.18,5.0,0
58.0,4.0,18.0,4.0,4220.0,0.0,40.0,1.0,1.0,31.0,6.67,6.44,1
67.0,1.0,16.0,1.0,4600.0,1.0,20.0,2.0,1.0,55.0,7.26,5.96,0
56.0,1.0,20.0,2.0,310.0,0.0,50.0,2.0,2.0,22.0,7.11,6.88,1
58.0,3.0,16.0,1.0,4220.0,0.0,40.0,1.0,8.0,6.0,8.7,5.79,1
41.0,1.0,22.0,1.0,205.0,0.0,45.0,1.0,1.0,12.0,8.53,7.51,1
28.0,1.0,22.0,5.0,2002.0,0.0,45.0,1.0,1.0,109.0,7.0,5.3,0
48.0,1.0,16.0,4.0,8810.0,5.0,38.0,1.0,1.0,313.0,5.94,7.11,1
30.0,3.0,21.0,3.0,5320.0,0.0,40.0,1.0,1.0,39.0,7.11,6.63,1
64.0,1.0,8.0,5.0,8300.0,0.0,20.0,2.0,8.0,303.0,4.54,5.55,0
25.0,1.0,21.0,5.0,2600.0,12.0,40.0,2.0,6.0,207.0,6.58,5.51,1
73.0,1.0,16.0,3.0,8225.0,0.0,20.0,1.0,1.0,6.0,5.06,2.54,0
38.0,6.0,11.0,1.0,4230.0,6.0,20.0,2.0,8.0,303.0,5.62,6.74,1
21.0,1.0,20.0,1.0,2310.0,0.0,40.0,2.0,1.0,6.0,5.07,6.53,1
37.0,1.0,15.0,5.0,8740.0,0.0,40.0,2.0,1.0,6.0,6.68,6.22,0
21.0,1.0,17.0,1.0,4110.0,9.0,20.0,2.0,1.0,48.0,5.03,6.88,0
32.0,1.0,21.0,5.0,1006.0,13.0,40.0,2.0,1.0,4.0,7.67,3.66,1
43.0,4.0,22.0,3.0,2310.0,0.0,40.0,2.0,1.0,6.0,6.35,6.61,1
35.0,1.0,22.0,5.0,136.0,2.0,45.0,1.0,1.0,6.0,8.01,3.45,1
60.0,1.0,21.0,1.0,850.0,1.0,40.0,2.0,1.0,6.0,6.84,6.54,0
18.0,1.0,14.0,5.0,4220.0,16.0,25.0,1.0,1.0,6.0,6.63,3.84,1
54.0,1.0,21.0,3.0,2360.0,0.0,40.0,1.0,1.0,303.0,7.86,5.18,0
41.0,1.0,19.0,1.0,4700.0,1.0,40.0,2.0,9.0,6.0,5.49,7.13,0
27.0,1.0,21.0,1.0,440.0,1.0,30.0,2.0,6.0,207.0,6.06,7.2,1
49.0,3.0,22.0,5.0,420.0,0.0,40.0,2.0,1.0,39.0,8.05,7.96,1
31.0,7.0,23.0,1.0,2100.0,0.0,20.0,2.0,1.0,6.0,6.43,8.17,1
51.0,1.0,9.0,1.0,8950.0,1.0,30.0,1.0,1.0,303.0,5.43,5.6,0
39.0,1.0,21.0,1.0,750.0,1.0,50.0,1.0,8.0,363.0,4.72,5.42,0
46.0,6.0,19.0,1.0,4510.0,0.0,40.0,1.0,6.0,247.0,5.81,8.21,1
50.0,1.0,24.0,5.0,350.0,0.0,40.0,2.0,6.0,210.0,5.8,6.7,1
26.0,1.0,11.0,5.0,4020.0,15.0,36.0,2.0,1.0,313.0,4.94,2.61,0
63.0,7.0,18.0,1.0,10.0,0.0,50.0,1.0,1.0,6.0,6.01,6.86,1
28.0,1.0,19.0,5.0,6260.0,13.0,42.0,1.0,1.0,4.0,7.42,6.43,1
78.0,3.0,19.0,3.0,5810.0,0.0,40.0,2.0,1.0,8.0,6.79,7.6,1
49.0,1.0,21.0,1.0,2634.0,1.0,40.0,2.0,1.0,449.0,7.28,6.39,1
46.0,3.0,19.0,1.0,2310.0,1.0,32.0,2.0,1.0,6.0,3.83,4.65,0
43.0,1.0,9.0,1.0,4020.0,1.0,28.0,1.0,8.0,303.0,4.46,4.72,0
37.0,1.0,21.0,1.0,630.0,1.0,40.0,2.0,1.0,6.0,7.69,8.19,1
42.0,2.0,20.0,1.0,2360.0,1.0,8.0,2.0,6.0,215.0,5.54,7.38,0
85.0,6.0,23.0,2.0,410.0,0.0,2.0,1.0,1.0,6.0,7.44,6.55,1
81.0,6.0,22.0,1.0,845.0,0.0,5.0,1.0,6.0,240.0,6.35,5.2,0
19.0,2.0,19.0,5.0,5860.0,2.0,20.0,1.0,1.0,6.0,5.5,6.54,0
21.0,1.0,19.0,5.0,4655.0,2.0,40.0,1.0,1.0,6.0,3.63,5.4,0
39.0,1.0,16.0,1.0,10.0,1.0,50.0,2.0,1.0,224.0,7.5,4.15,1
60.0,1.0,19.0,1.0,110.0,1.0,40.0,1.0,1.0,39.0,6.98,5.43,1
54.0,1.0,16.0,1.0,9130.0,6.0,32.0,1.0,1.0,303.0,7.47,8.65,0
23.0,6.0,19.0,5.0,2850.0,0.0,60.0,2.0,1.0,6.0,5.36,4.37,1
50.0,7.0,21.0,5.0,1021.0,11.0,60.0,1.0,1.0,6.0,6.36,5.29,0
61.0,1.0,16.0,1.0,530.0,1.0,40.0,2.0,1.0,6.0,5.71,5.16,1
46.0,1.0,16.0,2.0,9130.0,13.0,50.0,2.0,1.0,16.0,4.13,4.13,0
